Instance 	 p 	 q 
11 	 [73, 98, 21, 2, 30, 69, 57, 28, 68, 27, 39, 86, 28, 81, 88, 4, 7, 67, 16, 25, 4, 12, 24, 89, 3, 88, 64, 55, 15, 33, 1, 66, 100, 80, 54, 36, 18, 86, 5, 76, 57, 22, 37, 29, 40, 11, 62, 91, 20, 85] 	 [56, 16, 97, 41, 84, 37, 80, 32, 67, 70, 4, 34, 72, 19, 21, 93, 6, 21, 84, 31, 43, 36, 94, 47, 71, 91, 76, 74, 78, 32, 61, 75, 1, 30, 98, 68, 34, 81, 23, 37, 28, 100, 44, 86, 53, 32, 62, 68, 39, 61] 
12 	 [18, 2, 75, 96, 58, 54, 86, 78, 23, 79, 64, 96, 43, 24, 47, 70, 75, 57, 60, 81, 91, 95, 93, 77, 60, 97, 71, 20, 95, 82, 35, 91, 50, 67, 6, 74, 42, 6, 23, 74, 98, 51, 66, 88, 92, 6, 72, 96, 59, 37] 	 [2, 2, 68, 70, 62, 45, 28, 39, 46, 3, 62, 41, 14, 17, 52, 34, 1, 87, 59, 75, 78, 43, 52, 8, 94, 21, 30, 55, 59, 81, 58, 90, 73, 100, 93, 79, 59, 74, 83, 14, 36, 48, 69, 34, 38, 18, 98, 19, 42, 15] 
13 	 [76, 72, 57, 100, 18, 69, 55, 100, 33, 61, 3, 23, 28, 3, 15, 82, 5, 87, 72, 50, 26, 17, 12, 98, 35, 64, 41, 87, 54, 54, 52, 87, 45, 47, 81, 42, 34, 21, 37, 44, 60, 67, 93, 36, 11, 4, 23, 29, 24, 88] 	 [51, 8, 10, 57, 66, 54, 78, 49, 83, 14, 30, 100, 65, 35, 20, 62, 78, 25, 2, 8, 4, 60, 28, 69, 4, 11, 67, 11, 19, 21, 76, 86, 95, 86, 97, 8, 95, 5, 80, 2, 62, 70, 50, 6, 62, 71, 33, 54, 37, 90] 
14 	 [17, 5, 16, 37, 4, 10, 97, 21, 29, 84, 25, 59, 26, 64, 53, 94, 51, 41, 98, 53, 21, 91, 62, 28, 56, 50, 98, 63, 68, 46, 65, 6, 77, 76, 71, 95, 2, 44, 3, 80, 81, 51, 49, 91, 41, 73, 39, 85, 47, 1] 	 [49, 34, 73, 51, 62, 9, 17, 28, 25, 68, 52, 84, 44, 25, 29, 100, 86, 100, 86, 51, 70, 10, 17, 68, 26, 39, 98, 94, 16, 22, 73, 56, 63, 29, 57, 79, 13, 44, 96, 96, 10, 27, 68, 61, 7, 17, 40, 38, 34, 74] 
15 	 [61, 77, 58, 69, 20, 76, 41, 5, 12, 75, 45, 91, 58, 9, 48, 6, 68, 57, 38, 77, 17, 10, 10, 89, 34, 93, 90, 14, 94, 13, 57, 50, 56, 50, 9, 57, 66, 42, 90, 97, 32, 6, 63, 64, 91, 24, 70, 100, 80, 17] 	 [36, 81, 79, 43, 55, 57, 52, 44, 77, 24, 79, 11, 13, 67, 99, 70, 70, 81, 21, 99, 37, 83, 90, 6, 27, 69, 71, 49, 57, 33, 10, 25, 52, 33, 6, 71, 55, 19, 95, 97, 16, 52, 88, 17, 99, 44, 33, 75, 13, 38] 
16 	 [93, 20, 99, 3, 82, 36, 89, 28, 66, 62, 44, 44, 95, 88, 38, 67, 22, 26, 37, 20, 4, 76, 22, 35, 51, 62, 28, 18, 35, 72, 47, 100, 70, 41, 67, 32, 44, 88, 52, 45, 79, 84, 43, 33, 57, 41, 72, 55, 64, 24] 	 [24, 100, 76, 28, 14, 7, 45, 96, 92, 78, 19, 1, 32, 25, 88, 32, 69, 20, 36, 26, 48, 48, 61, 48, 91, 2, 29, 34, 12, 22, 55, 48, 76, 67, 76, 32, 33, 36, 55, 83, 5, 7, 82, 57, 95, 59, 79, 10, 74, 58] 
17 	 [72, 14, 45, 91, 5, 30, 87, 84, 16, 61, 27, 44, 40, 98, 52, 51, 74, 18, 74, 22, 65, 11, 39, 14, 28, 12, 34, 9, 89, 37, 36, 18, 24, 100, 66, 57, 32, 78, 60, 100, 81, 54, 32, 65, 62, 47, 41, 43, 83, 27] 	 [35, 70, 55, 6, 6, 16, 91, 43, 98, 58, 28, 38, 48, 56, 46, 51, 33, 92, 87, 6, 16, 71, 72, 39, 7, 15, 3, 83, 75, 98, 56, 76, 100, 99, 21, 71, 56, 26, 9, 58, 48, 96, 39, 21, 42, 3, 41, 30, 79, 24] 
18 	 [66, 90, 84, 72, 1, 65, 99, 49, 15, 23, 63, 68, 64, 89, 64, 53, 10, 19, 80, 78, 88, 33, 64, 89, 75, 3, 6, 56, 45, 1, 4, 46, 20, 35, 67, 28, 90, 48, 51, 96, 28, 59, 67, 2, 71, 39, 10, 68, 42, 28] 	 [12, 23, 53, 87, 18, 85, 74, 64, 12, 37, 85, 11, 20, 43, 21, 77, 39, 4, 79, 29, 20, 65, 94, 7, 85, 3, 33, 34, 77, 28, 52, 50, 75, 15, 42, 71, 3, 37, 98, 98, 50, 77, 42, 27, 82, 92, 43, 12, 88, 66] 
19 	 [29, 72, 63, 42, 83, 72, 41, 6, 21, 15, 2, 34, 67, 44, 43, 75, 99, 21, 99, 75, 14, 44, 14, 59, 26, 88, 87, 9, 44, 6, 6, 76, 66, 15, 9, 65, 83, 40, 27, 96, 79, 12, 62, 96, 100, 16, 3, 40, 53, 37] 	 [85, 78, 25, 23, 65, 3, 20, 83, 40, 39, 43, 52, 70, 9, 30, 17, 13, 7, 79, 72, 82, 58, 71, 60, 16, 49, 26, 58, 54, 3, 68, 21, 46, 99, 62, 56, 70, 90, 73, 69, 58, 11, 80, 20, 98, 36, 92, 64, 81, 5] 
20 	 [60, 38, 79, 47, 37, 66, 53, 2, 99, 80, 65, 28, 1, 42, 37, 41, 46, 14, 56, 2, 50, 8, 2, 1, 25, 35, 33, 6, 71, 21, 18, 66, 1, 9, 97, 36, 61, 49, 71, 58, 77, 42, 62, 93, 31, 90, 70, 78, 87, 69] 	 [96, 25, 42, 21, 54, 86, 94, 3, 2, 75, 12, 67, 2, 90, 29, 94, 48, 72, 89, 95, 5, 3, 23, 34, 8, 27, 47, 33, 36, 36, 17, 18, 46, 10, 36, 93, 92, 16, 82, 45, 85, 74, 42, 2, 7, 8, 17, 16, 3, 53] 
21 	 [15, 5, 4, 100, 5, 14, 10, 31, 18, 7, 64, 78, 62, 93, 57, 58, 76, 22, 76, 86, 83, 15, 18, 27, 70, 64, 56, 93, 6, 55, 29, 38, 34, 1, 73, 28, 97, 19, 100, 74, 40, 8, 99, 49, 54, 90, 19, 27, 46, 27] 	 [65, 86, 48, 22, 98, 55, 89, 63, 74, 2, 85, 78, 96, 49, 48, 90, 68, 38, 30, 23, 26, 46, 14, 70, 34, 53, 15, 12, 21, 62, 19, 23, 77, 71, 58, 22, 54, 31, 47, 53, 87, 16, 94, 28, 35, 97, 23, 42, 45, 55] 
22 	 [98, 6, 77, 91, 4, 14, 18, 73, 50, 100, 62, 12, 95, 13, 49, 90, 39, 26, 64, 10, 37, 9, 17, 60, 33, 79, 31, 71, 53, 47, 100, 64, 56, 4, 43, 5, 44, 88, 23, 46, 86, 48, 31, 82, 74, 76, 93, 73, 75, 84] 	 [79, 94, 34, 87, 90, 36, 37, 33, 12, 15, 59, 95, 43, 6, 25, 15, 59, 54, 58, 81, 71, 89, 99, 28, 19, 25, 10, 52, 42, 100, 43, 38, 67, 68, 44, 6, 27, 8, 39, 25, 66, 56, 89, 68, 93, 50, 50, 8, 14, 34] 
23 	 [81, 36, 45, 91, 70, 22, 91, 25, 92, 81, 65, 80, 88, 13, 77, 42, 58, 55, 71, 15, 45, 64, 86, 94, 100, 15, 1, 93, 98, 46, 90, 21, 99, 53, 83, 7, 66, 79, 8, 24, 60, 64, 28, 92, 6, 61, 21, 13, 28, 7] 	 [74, 8, 50, 71, 75, 17, 86, 88, 31, 1, 8, 39, 32, 81, 28, 53, 99, 89, 2, 29, 41, 48, 41, 19, 29, 60, 42, 12, 33, 12, 21, 13, 35, 49, 38, 93, 3, 54, 76, 77, 18, 61, 74, 20, 72, 18, 90, 96, 1, 85] 
24 	 [44, 98, 60, 71, 15, 60, 48, 21, 66, 15, 91, 22, 20, 82, 85, 27, 41, 5, 29, 51, 68, 27, 11, 89, 30, 16, 98, 76, 37, 11, 77, 18, 19, 51, 5, 63, 21, 43, 41, 41, 45, 72, 86, 17, 96, 69, 13, 79, 60, 97] 	 [98, 83, 4, 31, 79, 70, 77, 78, 41, 37, 72, 40, 32, 66, 9, 73, 6, 51, 72, 55, 67, 50, 4, 37, 77, 25, 38, 30, 99, 17, 76, 52, 80, 64, 68, 87, 57, 39, 25, 65, 36, 12, 18, 66, 58, 85, 29, 85, 28, 39] 
25 	 [42, 34, 34, 79, 89, 68, 77, 74, 33, 33, 38, 63, 62, 81, 69, 40, 44, 26, 45, 72, 57, 15, 18, 88, 24, 52, 67, 50, 79, 72, 10, 50, 25, 24, 77, 87, 31, 50, 26, 4, 47, 56, 10, 52, 87, 64, 40, 59, 74, 15] 	 [2, 99, 80, 76, 100, 9, 15, 36, 14, 9, 4, 33, 50, 51, 45, 30, 28, 88, 52, 52, 59, 56, 19, 21, 84, 40, 9, 30, 75, 91, 95, 21, 19, 10, 50, 88, 88, 44, 70, 62, 41, 97, 71, 42, 80, 48, 49, 23, 53, 67] 
26 	 [76, 42, 81, 4, 91, 13, 30, 9, 49, 9, 49, 97, 35, 30, 91, 87, 6, 86, 30, 21, 82, 78, 85, 69, 96, 62, 85, 63, 76, 61, 100, 39, 54, 14, 34, 11, 99, 67, 28, 90, 15, 2, 35, 12, 39, 50, 8, 37, 24, 77] 	 [63, 55, 1, 66, 88, 33, 54, 99, 89, 70, 95, 48, 39, 21, 59, 86, 43, 22, 97, 15, 40, 27, 30, 14, 32, 96, 45, 70, 5, 76, 50, 16, 61, 5, 43, 77, 45, 79, 19, 4, 97, 34, 24, 55, 19, 13, 2, 51, 60, 41] 
27 	 [48, 61, 93, 25, 82, 66, 50, 57, 80, 11, 32, 33, 80, 51, 62, 50, 77, 84, 31, 68, 60, 35, 21, 15, 18, 80, 95, 50, 66, 77, 51, 63, 66, 62, 78, 65, 27, 21, 36, 82, 87, 99, 28, 56, 48, 22, 95, 79, 32, 14] 	 [24, 36, 84, 72, 97, 80, 43, 58, 95, 98, 86, 2, 16, 73, 28, 88, 25, 41, 39, 30, 5, 44, 48, 11, 50, 73, 58, 81, 75, 49, 57, 36, 70, 26, 59, 82, 4, 90, 96, 42, 19, 21, 91, 9, 79, 4, 36, 1, 22, 48] 
28 	 [57, 36, 35, 20, 61, 98, 93, 32, 94, 98, 73, 82, 14, 74, 30, 39, 52, 34, 40, 27, 11, 17, 1, 88, 45, 31, 7, 32, 64, 53, 34, 14, 59, 94, 66, 93, 48, 56, 82, 57, 36, 11, 37, 2, 78, 85, 75, 16, 84, 47] 	 [80, 12, 35, 41, 54, 91, 17, 30, 34, 16, 23, 64, 7, 86, 9, 80, 85, 65, 51, 67, 19, 60, 72, 58, 78, 41, 47, 32, 14, 53, 10, 52, 99, 45, 17, 56, 21, 81, 37, 100, 10, 20, 10, 8, 77, 48, 4, 27, 74, 20] 
29 	 [82, 84, 3, 73, 15, 29, 17, 56, 97, 72, 63, 59, 87, 46, 90, 52, 20, 86, 48, 49, 42, 89, 71, 40, 14, 52, 38, 85, 43, 81, 96, 47, 53, 5, 21, 14, 82, 50, 19, 16, 56, 82, 13, 84, 36, 42, 37, 16, 73, 34] 	 [62, 57, 16, 28, 17, 86, 7, 20, 13, 53, 30, 29, 43, 15, 17, 28, 59, 86, 26, 63, 42, 96, 6, 92, 79, 60, 26, 30, 11, 99, 83, 98, 5, 69, 67, 89, 89, 1, 62, 45, 43, 24, 68, 78, 23, 59, 6, 72, 3, 28] 
30 	 [44, 53, 42, 23, 8, 79, 70, 35, 100, 25, 54, 40, 19, 49, 51, 4, 86, 53, 55, 5, 11, 16, 50, 96, 99, 94, 83, 56, 26, 73, 52, 68, 71, 55, 97, 63, 71, 69, 54, 77, 72, 58, 90, 46, 41, 25, 4, 82, 70, 29] 	 [44, 55, 88, 55, 41, 9, 35, 68, 62, 79, 28, 91, 5, 60, 48, 87, 44, 45, 25, 62, 51, 55, 96, 30, 76, 52, 40, 90, 35, 19, 98, 39, 46, 73, 35, 8, 24, 21, 4, 70, 5, 58, 57, 89, 35, 77, 6, 76, 16, 25] 
31 	 [45, 95, 8, 30, 63, 27, 98, 27, 42, 82, 25, 41, 60, 38, 26, 84, 82, 45, 85, 25, 31, 14, 46, 67, 37, 29, 21, 85, 94, 14, 63, 13, 28, 75, 24, 55, 94, 67, 61, 27, 2, 1, 75, 81, 47, 13, 32, 84, 87, 78] 	 [26, 27, 52, 23, 78, 68, 60, 4, 4, 21, 99, 68, 70, 30, 37, 65, 11, 32, 98, 49, 82, 77, 36, 58, 50, 4, 56, 84, 30, 93, 31, 62, 27, 77, 72, 31, 45, 72, 56, 1, 6, 88, 99, 74, 75, 22, 79, 29, 68, 9] 
32 	 [27, 58, 71, 82, 25, 43, 97, 70, 58, 64, 62, 19, 31, 35, 94, 29, 41, 47, 39, 97, 53, 78, 99, 22, 21, 7, 25, 29, 8, 91, 74, 79, 56, 36, 54, 32, 28, 38, 52, 24, 25, 5, 53, 82, 3, 14, 36, 82, 1, 2] 	 [41, 32, 6, 60, 63, 91, 14, 80, 48, 20, 43, 43, 72, 56, 19, 30, 72, 81, 14, 90, 12, 72, 5, 55, 31, 60, 43, 69, 9, 56, 5, 76, 30, 6, 19, 86, 76, 76, 32, 54, 79, 15, 84, 3, 79, 65, 65, 36, 20, 78] 
33 	 [3, 63, 80, 12, 72, 12, 47, 47, 44, 29, 50, 95, 15, 34, 11, 100, 15, 74, 79, 34, 35, 70, 96, 96, 13, 30, 68, 70, 49, 2, 67, 95, 77, 12, 78, 42, 82, 65, 59, 79, 74, 29, 32, 30, 54, 40, 39, 37, 11, 6] 	 [19, 18, 5, 24, 39, 85, 4, 81, 89, 57, 25, 17, 77, 48, 74, 83, 24, 56, 31, 4, 24, 40, 41, 50, 36, 65, 99, 50, 68, 80, 41, 59, 36, 87, 65, 96, 5, 10, 83, 38, 72, 40, 72, 74, 42, 44, 21, 42, 57, 34] 
34 	 [41, 78, 24, 47, 72, 87, 68, 82, 76, 20, 66, 11, 51, 39, 16, 39, 4, 20, 8, 50, 32, 62, 8, 25, 47, 63, 87, 19, 94, 6, 50, 43, 78, 95, 33, 42, 75, 51, 94, 96, 72, 78, 10, 23, 60, 72, 84, 48, 88, 44] 	 [48, 1, 97, 71, 75, 95, 22, 37, 95, 87, 70, 72, 96, 59, 4, 9, 77, 47, 97, 42, 64, 94, 12, 49, 66, 39, 65, 2, 39, 56, 38, 46, 33, 4, 1, 57, 6, 77, 45, 4, 8, 60, 36, 46, 74, 72, 90, 69, 17, 96] 
35 	 [61, 11, 86, 68, 77, 31, 33, 43, 78, 77, 87, 55, 74, 29, 42, 100, 55, 30, 100, 82, 91, 66, 16, 1, 21, 54, 37, 98, 51, 82, 56, 8, 69, 48, 4, 28, 26, 85, 53, 69, 55, 62, 81, 91, 76, 80, 98, 82, 53, 14] 	 [50, 85, 14, 16, 16, 99, 44, 99, 34, 79, 40, 80, 81, 63, 11, 26, 40, 7, 81, 47, 77, 51, 89, 20, 71, 6, 64, 92, 81, 69, 53, 32, 16, 46, 45, 88, 2, 57, 56, 59, 60, 5, 53, 57, 59, 83, 38, 50, 25, 80] 
36 	 [9, 28, 93, 81, 8, 38, 68, 60, 62, 41, 7, 37, 40, 26, 6, 62, 35, 40, 70, 67, 17, 20, 29, 74, 45, 1, 44, 41, 8, 65, 85, 46, 78, 13, 98, 58, 84, 99, 30, 1, 29, 37, 41, 80, 62, 36, 77, 7, 32, 61] 	 [29, 10, 56, 37, 83, 62, 35, 23, 24, 83, 26, 93, 94, 90, 46, 73, 2, 17, 14, 75, 25, 15, 38, 35, 70, 41, 27, 18, 3, 3, 39, 77, 90, 62, 45, 92, 94, 66, 55, 15, 31, 17, 25, 84, 6, 16, 37, 28, 55, 86] 
37 	 [54, 13, 41, 14, 10, 32, 33, 67, 34, 72, 40, 71, 68, 14, 59, 28, 54, 38, 6, 60, 48, 87, 83, 18, 37, 53, 89, 5, 12, 2, 72, 67, 18, 40, 97, 50, 75, 62, 35, 41, 99, 81, 55, 34, 36, 70, 95, 52, 88, 16] 	 [87, 87, 42, 58, 95, 91, 1, 89, 61, 71, 94, 35, 90, 14, 35, 63, 6, 90, 12, 56, 93, 76, 8, 60, 51, 86, 41, 36, 80, 42, 1, 37, 96, 45, 39, 92, 66, 85, 86, 9, 32, 41, 65, 4, 79, 50, 61, 38, 71, 89] 
38 	 [37, 26, 72, 57, 98, 30, 17, 73, 69, 36, 37, 49, 38, 47, 10, 25, 64, 42, 23, 86, 92, 11, 32, 64, 61, 98, 26, 62, 32, 32, 34, 83, 74, 53, 63, 47, 33, 80, 15, 20, 75, 72, 19, 95, 67, 94, 7, 43, 97, 51] 	 [12, 77, 84, 11, 20, 82, 19, 19, 22, 51, 44, 10, 53, 86, 79, 39, 66, 25, 71, 51, 56, 1, 27, 21, 88, 9, 18, 13, 86, 26, 29, 5, 58, 14, 94, 83, 23, 2, 16, 82, 75, 15, 61, 33, 36, 15, 33, 72, 70, 81] 
39 	 [87, 24, 17, 50, 10, 83, 6, 8, 69, 42, 56, 1, 78, 38, 1, 26, 33, 38, 26, 22, 91, 40, 86, 70, 10, 16, 20, 9, 97, 73, 1, 53, 16, 2, 63, 54, 66, 74, 31, 47, 100, 3, 63, 89, 13, 20, 57, 50, 45, 26] 	 [80, 58, 98, 10, 75, 25, 14, 37, 17, 57, 25, 77, 96, 27, 34, 66, 78, 5, 59, 15, 4, 66, 49, 58, 54, 55, 25, 83, 16, 96, 77, 63, 31, 22, 3, 98, 24, 33, 90, 97, 12, 2, 34, 95, 76, 81, 10, 1, 97, 6] 
40 	 [98, 8, 94, 30, 54, 9, 34, 97, 15, 14, 49, 74, 18, 51, 22, 9, 80, 28, 90, 65, 66, 17, 61, 3, 20, 9, 90, 67, 58, 17, 64, 57, 81, 14, 68, 58, 28, 5, 38, 79, 44, 29, 56, 38, 61, 86, 98, 86, 18, 48] 	 [62, 22, 44, 72, 74, 1, 79, 92, 60, 57, 56, 93, 88, 53, 90, 34, 25, 64, 42, 100, 56, 43, 7, 55, 58, 93, 28, 14, 86, 65, 62, 60, 18, 68, 90, 12, 56, 89, 15, 89, 14, 11, 16, 34, 38, 15, 34, 84, 8, 32] 
41 	 [73, 32, 3, 47, 26, 12, 86, 68, 24, 35, 95, 19, 71, 54, 3, 91, 12, 57, 74, 79, 100, 52, 32, 74, 70, 62, 83, 20, 72, 43, 25, 66, 83, 46, 9, 26, 73, 3, 89, 91, 88, 76, 99, 34, 81, 94, 12, 10, 56, 90] 	 [63, 45, 71, 10, 87, 22, 66, 18, 11, 71, 3, 87, 93, 99, 7, 12, 17, 59, 44, 26, 44, 73, 30, 100, 12, 89, 5, 87, 29, 11, 26, 69, 90, 68, 66, 37, 27, 37, 14, 15, 10, 84, 73, 42, 70, 82, 3, 4, 99, 16] 
42 	 [66, 85, 7, 30, 35, 39, 16, 90, 60, 59, 66, 49, 15, 78, 37, 45, 30, 62, 52, 10, 99, 61, 79, 38, 22, 30, 63, 79, 70, 38, 12, 59, 50, 81, 51, 30, 2, 78, 60, 61, 43, 91, 94, 16, 68, 36, 79, 99, 44, 81] 	 [67, 63, 31, 78, 81, 42, 90, 71, 12, 84, 19, 54, 90, 20, 82, 19, 78, 87, 16, 20, 61, 4, 95, 93, 84, 64, 36, 70, 53, 67, 94, 44, 85, 46, 5, 85, 49, 9, 34, 17, 71, 21, 99, 28, 54, 8, 98, 80, 2, 50] 
43 	 [20, 44, 81, 66, 72, 8, 66, 7, 83, 30, 4, 89, 25, 71, 43, 75, 3, 96, 13, 11, 30, 7, 24, 93, 41, 29, 80, 46, 10, 9, 55, 92, 92, 1, 49, 41, 83, 2, 91, 42, 23, 35, 91, 11, 40, 75, 98, 71, 49, 90] 	 [21, 58, 24, 58, 72, 92, 78, 73, 43, 95, 78, 33, 91, 53, 72, 32, 35, 60, 28, 64, 89, 50, 77, 15, 38, 39, 67, 97, 49, 42, 80, 53, 2, 99, 76, 26, 23, 78, 11, 5, 89, 10, 62, 6, 40, 90, 11, 90, 60, 68] 
44 	 [88, 36, 39, 59, 73, 41, 47, 18, 23, 67, 52, 52, 13, 99, 26, 77, 61, 30, 38, 9, 73, 72, 93, 89, 67, 54, 49, 44, 59, 80, 91, 74, 56, 84, 43, 46, 97, 65, 86, 51, 53, 93, 7, 76, 67, 46, 18, 16, 16, 3] 	 [30, 66, 20, 6, 91, 53, 53, 70, 92, 17, 42, 9, 28, 25, 98, 33, 99, 33, 27, 25, 83, 87, 92, 45, 1, 76, 92, 42, 79, 98, 48, 63, 17, 13, 36, 13, 73, 99, 70, 100, 8, 92, 56, 32, 78, 60, 56, 19, 23, 46] 
45 	 [57, 76, 53, 78, 97, 44, 73, 88, 68, 14, 28, 16, 100, 96, 9, 42, 91, 65, 64, 70, 79, 20, 51, 64, 4, 34, 13, 24, 9, 34, 42, 2, 92, 29, 11, 35, 26, 22, 66, 73, 96, 78, 64, 47, 94, 24, 8, 28, 93, 33] 	 [87, 37, 73, 4, 54, 54, 88, 83, 21, 86, 50, 29, 100, 43, 41, 24, 71, 50, 26, 71, 91, 36, 74, 29, 89, 33, 48, 67, 68, 17, 36, 20, 56, 2, 46, 18, 71, 64, 19, 78, 96, 39, 90, 65, 41, 41, 57, 92, 76, 13] 
